_id,id,name,start_neighborhood,end_neighborhood,built,year_rehab,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
21,1422005607,Calera Street Bridge 1,Hays,,1930,1984,https://tools.wprdc.org/images/pittsburgh/bridges/Calera_Street_Bridge_1.jpg,Hays,5,31,42003562900,3,31,4,4-20,40.38293333,-79.93294525
22,1163914043,Calera Street Bridge 2,Hays,,1930,1984,https://tools.wprdc.org/images/pittsburgh/bridges/Calera_Street_Bridge_2.jpg,Hays,5,31,42003562900,3,31,4,4-20,40.38355427,-79.9328659
20,1474894314,Brighton Heights Boulevard Bridge,Brighton Heights,,1930,1980,https://tools.wprdc.org/images/pittsburgh/bridges/Brighton_Heights_Boulevard_Bridge.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48147096,-80.04233831
50,1962872980,Fancourt Street Bridge,Central Business District,,1930,1930,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44346249,-80.00594416
126,760187504,Swindell Bridge,Spring Garden,Perry South,1930,1989,https://tools.wprdc.org/images/pittsburgh/bridges/Swindell_Bridge.jpg,Perry South,6,26,42003261500,1,26,1,1-23,40.47218226,-80.00528527
2,761156487,28th Street Bridge,Strip District,Polish Hill,1931,1974,https://tools.wprdc.org/images/pittsburgh/bridges/28th_Street_Bridge.jpg,Strip District,7,6,42003020300,6,6,2,2-25,40.4561717,-79.97370843
102,1260503903,PJ McArdle Viaduct 1,Southside Flats,Southside Slopes,1933,1933,https://tools.wprdc.org/images/pittsburgh/bridges/PJ_McArdle_Viaduct_1.jpg,South Side Flats,3,17,42003170600,4,17,3,4-2,40.42777388,-79.9928387
103,209059012,PJ McArdle Viaduct 2,Southside Slopes,,1934,1934,,South Side Slopes,3,18,42003170200,4,18,3,4-2,40.42899953,-79.99746086
98,988708906,Pensdale Street Bridge 1,Oakwood,,1937,1937,https://tools.wprdc.org/images/pittsburgh/bridges/Pensdale_Street_Bridge_1.jpg,Oakwood,2,28,42003562800,5,28,6,1-19,40.42740473,-80.06377633
99,781196343,Pensdale Street Bridge 2,Oakwood,,1937,1937,https://tools.wprdc.org/images/pittsburgh/bridges/Pensdale_Street_Bridge_2.jpg,Oakwood,2,28,42003562800,5,28,6,1-19,40.42802848,-80.06437446
26,1368360254,Charles Anderson Bridge,Squirrel Hill South,South Oakland,1938,1987,https://tools.wprdc.org/images/pittsburgh/bridges/Charles_Anderson_Bridge.jpg,Central Oakland,3,4,42003040600,3,4,4,2-8,40.43441416,-79.95013126
