_id,id,name,street,to_street,year_constructed,public_view,inactive,height,length,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
9,969866988,1749 Perrysville Ave,PERRYSVILLE AVE,,,True,False,,115.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/1749_Perrysville_Ave.jpg,Central Northside,6,25,42003250300,1,25,1,1-10,40.45990567,-80.01111509
18,610483343,Adon St 2,ADON ST,,,True,False,,290.0,,Sheraden,2,20,42003562500,5,20,6,1-16,40.45846345,-80.0609894
32,1527950234,Arlington Ave from Newton St,ARLINGTON AVE,,1958,True,False,8.0,231.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Arlington_Ave_from_Newton_St.jpg,South Side Slopes,3,17,42003170600,4,17,3,4-5,40.42636876,-79.99204857
17,1642089125,Adon St 1,ADON ST,,,True,False,,65.0,,Sheraden,2,20,42003562500,5,20,6,1-16,40.45845077,-80.06131065
369,747532086,Tinsley Way,TINSLEY WAY,,2016,True,False,,60.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Tinsley_Way.jpg,Point Breeze,8,14,42003140400,3,14,4,2-17,40.44642072,-79.91915062
33,1600934276,Arlington Ave from PJ McArdle Rdwy to Newton St,ARLINGTON AVE,NEWTON ST,1958,True,False,14.0,1060.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Arlington_Ave_from_PJ_McArdle_Rdwy_to_Newton_St.jpg,South Side Slopes,3,18,42003170600,4,18,3,4-5,40.42774004,-79.99555056
370,223682275,Topeka St,TOPEKA ST,,1995,True,False,5.0,53.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Topeka_St.jpg,Arlington,3,16,42003561600,4,16,3,4-8,40.41355538,-79.97108236
34,1584758261,Arlington Ave from St. Patrick St,ARLINGTON AVE,,,True,False,,205.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Arlington_Ave_from_St._Patrick_St.jpg,South Side Slopes,3,17,42003170600,4,17,3,4-22,40.41792994,-79.97953741
38,843385265,Bailey Ave,BAILEY AVE,,,True,False,,135.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Bailey_Ave.jpg,Mount Washington,3,18,42003180700,4,18,3,4-5,40.42698298,-79.99946695
39,289943262,Baker St 1,BUTLER ST,,1964,True,False,8.0,100.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Baker_St_1.jpg,Morningside,7,10,42003101400,2,10,5,3-7,40.48915052,-79.93192931
